title,url,pdf_url,doi,arxiv_id,authors,venue,publication_date,impact,confidence
"Scaling LLM Test-Time Compute Optimally Can be More Effective than Scaling Parameters for Reasoning","https://proceedings.iclr.cc/paper_files/paper/2025/hash/1b623663fd9b874366f3ce019fdfdd44-Abstract-Conference.html","https://proceedings.iclr.cc/paper_files/paper/2025/file/1b623663fd9b874366f3ce019fdfdd44-Paper-Conference.pdf","","","Snell et al.","ICLR","2025","Adaptive allocation of inference compute and process-verifier-guided search can outperform uniform best-of-N, especially when matched to task difficulty.","High"
"Language agents achieve superhuman synthesis of scientific knowledge","https://arxiv.org/abs/2409.13740","https://arxiv.org/pdf/2409.13740.pdf","10.48550/arXiv.2409.13740","2409.13740","Skarlinski et al.","arXiv preprint","2024-09-10","PaperQA2 provides an agentic blueprint for full-text literature search, cited synthesis and contradiction detection with expert evaluation.","Medium"
"RAGChecker: A Fine-grained Framework for Diagnosing Retrieval-Augmented Generation","https://proceedings.neurips.cc/paper_files/paper/2024/hash/27245589131d17368cccdfa990cbf16e-Abstract-Datasets_and_Benchmarks_Track.html","https://proceedings.nips.cc/paper_files/paper/2024/file/27245589131d17368cccdfa990cbf16e-Paper-Datasets_and_Benchmarks_Track.pdf","10.52202/079017-0692","2408.08067","Ru et al.","NeurIPS Datasets and Benchmarks","2024","Claim-level entailment diagnostics separate retrieval failures from generation failures and correlate better with human judgement than coarse scores.","High"
"ARES: An Automated Evaluation Framework for Retrieval-Augmented Generation Systems","https://aclanthology.org/2024.naacl-long.20/","https://aclanthology.org/2024.naacl-long.20.pdf","10.18653/v1/2024.naacl-long.20","","Saad-Falcon et al.","NAACL","2024-06","Evaluates context relevance, answer faithfulness and answer relevance using lightweight judges calibrated with a small human-labelled set.","High"
"Model Internals-based Answer Attribution for Trustworthy Retrieval-Augmented Generation","https://aclanthology.org/2024.emnlp-main.347/","https://aclanthology.org/2024.emnlp-main.347.pdf","10.18653/v1/2024.emnlp-main.347","","Qi et al.","EMNLP","2024-11","MIRAGE attributes context-sensitive answer tokens to contributing documents using model-internal saliency rather than trusting self-generated citations alone.","High"
"Chain-of-Verification Reduces Hallucination in Large Language Models","https://aclanthology.org/2024.findings-acl.212/","https://aclanthology.org/2024.findings-acl.212.pdf","10.18653/v1/2024.findings-acl.212","","Dhuliawala et al.","Findings of ACL","2024","Draft, plan independent verification questions, answer them without draft anchoring, then regenerate a verified response.","High"
"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection","https://openreview.net/forum?id=hSyW5go0v8","https://arxiv.org/pdf/2310.11511.pdf","10.48550/arXiv.2310.11511","2310.11511","Asai et al.","ICLR","2024","Learns retrieval-on-demand and explicit relevance, support and utility reflection signals, improving factuality and citation accuracy.","High"
"Corrective Retrieval Augmented Generation","https://arxiv.org/abs/2401.15884","https://arxiv.org/pdf/2401.15884.pdf","10.48550/arXiv.2401.15884","2401.15884","Yan et al.","arXiv preprint","2024-01-29","Retrieval quality gating, fallback search and decompose-then-recompose filtering improve robustness when first-pass retrieval is poor.","Medium"
"Large Language Models Cannot Self-Correct Reasoning Yet","https://proceedings.iclr.cc/paper_files/paper/2024/hash/8b4add8b0aa8749d80a34ca5d941c355-Abstract-Conference.html","https://proceedings.iclr.cc/paper_files/paper/2024/file/8b4add8b0aa8749d80a34ca5d941c355-Paper-Conference.pdf","10.48550/arXiv.2310.01798","2310.01798","Huang et al.","ICLR","2024","Intrinsic self-correction without external feedback is unreliable and can degrade reasoning, supporting independent verifier and tool-based checks.","High"
"Let's Verify Step by Step","https://arxiv.org/abs/2305.20050","https://cdn.openai.com/improving-mathematical-reasoning-with-process-supervision/Lets_Verify_Step_by_Step.pdf","10.48550/arXiv.2305.20050","2305.20050","Lightman et al.","Technical report / PRM800K","2023-05-31","Process supervision and step-level reward models outperform outcome-only supervision in the reported math setting and motivate step-verifier architectures.","Medium"
