"title","url","pdf_url","doi","arxiv_id","saved_path","download_url","status","message"
"CRITIC-R1: Learning Structured Critics for Retrieval-Augmented Generation","https://arxiv.org/abs/2605.29886","https://arxiv.org/pdf/2605.29886.pdf","10.48550/arXiv.2605.29886","2605.29886","D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\2026-update\downloads\retry\011-critic-r1-learning-structured-critics-for-retrieval-augmented-generation.pdf","https://arxiv.org/pdf/2605.29886.pdf","success","ok"
"CRITIC-RAG: Knowledge-Augmented Large Language Models With Verified Retrieval for Improved Medical Reasoning","https://doi.org/10.1109/JBHI.2026.3687666","","10.1109/JBHI.2026.3687666","","","","failed","no public PDF URL recorded"
"Reason and Verify: A Framework for Faithful Retrieval-Augmented Generation","https://proceedings.mlr.press/v318/khan26a.html","https://raw.githubusercontent.com/mlresearch/v318/main/assets/khan26a/khan26a.pdf","","","D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\2026-update\downloads\retry\013-reason-and-verify-a-framework-for-faithful-retrieval-augmented-generation.pdf","https://raw.githubusercontent.com/mlresearch/v318/main/assets/khan26a/khan26a.pdf","success","ok"
"Evaluating large language models for evidence-based clinical question answering","https://pmc.ncbi.nlm.nih.gov/articles/PMC13161685/","https://arxiv.org/pdf/2509.10843.pdf","10.1016/j.patter.2026.101519","2509.10843","D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\2026-update\downloads\retry\014-evaluating-large-language-models-for-evidence-based-clinical-question-answering.pdf","https://arxiv.org/pdf/2509.10843.pdf","success","ok"
"Look as You Think: Unifying Reasoning and Visual Evidence Attribution for Verifiable Document RAG via Reinforcement Learning","https://ojs.aaai.org/index.php/AAAI/article/view/40488","https://ojs.aaai.org/index.php/AAAI/article/download/40488/44449","10.1609/aaai.v40i38.40488","2511.12003","D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\2026-update\downloads\retry\015-look-as-you-think-unifying-reasoning-and-visual-evidence-attribution-for-verifia.pdf","https://ojs.aaai.org/index.php/AAAI/article/download/40488/44449","success","ok"
"Faithful in Steps: Improving Generalization and Citation in RAG via Query Decomposition","https://ojs.aaai.org/index.php/AAAI/article/view/40879","https://ojs.aaai.org/index.php/AAAI/article/view/40879/44840","10.1609/aaai.v40i42.40879","","","","failed","publisher access, timeout, or unavailable public PDF"
"Tiny-Critic RAG: Empowering Agentic Fallback with Parameter-Efficient Small Language Models","https://arxiv.org/abs/2603.00846","https://arxiv.org/pdf/2603.00846.pdf","10.48550/arXiv.2603.00846","2603.00846","D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\2026-update\downloads\remaining\001-tiny-critic-rag-empowering-agentic-fallback-with-parameter-efficient-small-langu.pdf","https://arxiv.org/pdf/2603.00846.pdf","success","ok"
"Agentic memory-augmented retrieval and evidence grounding for medical question-answering tasks","https://pubmed.ncbi.nlm.nih.gov/41713127/","https://www.medrxiv.org/content/medrxiv/early/2025/08/08/2025.08.06.25333160.full.pdf","10.1016/j.ijmedinf.2026.106339","","","","failed","publisher access, timeout, or unavailable public PDF"
"Multi-Evidence Clinical Reasoning With Retrieval-Augmented Generation for Emergency Triage: Retrospective Evaluation Study","https://medinform.jmir.org/2026/1/e82026/","https://medinform.jmir.org/2026/1/e82026/PDF","10.2196/82026","","","","failed","publisher access, timeout, or unavailable public PDF"
"MedRAGChecker: Claim-Level Verification for Biomedical Retrieval-Augmented Generation","https://arxiv.org/abs/2601.06519","https://arxiv.org/pdf/2601.06519.pdf","10.48550/arXiv.2601.06519","2601.06519","","","failed","publisher access, timeout, or unavailable public PDF"
"Web Search Is Not Enough: LLMs Fail to Account for Paper Retraction Status","https://openreview.net/forum?id=yvivK8FdVI","https://openreview.net/pdf?id=yvivK8FdVI","","","","","failed","publisher access, timeout, or unavailable public PDF"
