title,url,pdf_url,doi,arxiv_id,saved_path,download_url,status,message
HealthAgentBench: A Unified Benchmark Suite of Realistic Agentic Healthcare Environments for Challenging Frontier AI Agents,https://arxiv.org/abs/2606.31179,https://arxiv.org/pdf/2606.31179.pdf,10.48550/arXiv.2606.31179,2606.31179,research\project-audit-2026-08-02\downloads\papers\011-healthagentbench-a-unified-benchmark-suite-of-realistic-agentic-healthcare-envir.pdf,https://arxiv.org/pdf/2606.31179.pdf,success,ok
SEMA-RAG: A Self-Evolving Multi-Agent Retrieval-Augmented Generation Framework for Medical Reasoning,https://aclanthology.org/2026.findings-acl.917/,https://aclanthology.org/2026.findings-acl.917.pdf,10.18653/v1/2026.findings-acl.917,,research\project-audit-2026-08-02\downloads\papers\012-sema-rag-a-self-evolving-multi-agent-retrieval-augmented-generation-framework-fo.pdf,https://aclanthology.org/2026.findings-acl.917.pdf,success,ok
AgenticRAGTracer: A Hop-Aware Benchmark for Diagnosing Multi-Step Retrieval Reasoning in Agentic RAG,https://aclanthology.org/2026.findings-acl.66/,https://aclanthology.org/2026.findings-acl.66.pdf,10.18653/v1/2026.findings-acl.66,,research\project-audit-2026-08-02\downloads\papers\013-agenticragtracer-a-hop-aware-benchmark-for-diagnosing-multi-step-retrieval-reaso.pdf,https://aclanthology.org/2026.findings-acl.66.pdf,success,ok
Agentic-R: Learning to Retrieve for Agentic Search,https://aclanthology.org/2026.findings-acl.785/,https://aclanthology.org/2026.findings-acl.785.pdf,10.18653/v1/2026.findings-acl.785,,research\project-audit-2026-08-02\downloads\papers\014-agentic-r-learning-to-retrieve-for-agentic-search.pdf,https://aclanthology.org/2026.findings-acl.785.pdf,success,ok
LLM-Generated Text May Harm Your Retrieval! A Robust Detection Strategy for Retrieval-Augmented Generation,https://aclanthology.org/2026.acl-long.1475/,https://aclanthology.org/2026.acl-long.1475.pdf,10.18653/v1/2026.acl-long.1475,,research\project-audit-2026-08-02\downloads\papers\015-llm-generated-text-may-harm-your-retrieval-a-robust-detection-strategy-for-retri.pdf,https://aclanthology.org/2026.acl-long.1475.pdf,success,ok
RIPRAG: Hack a Black-box Retrieval-Augmented Generation Question-Answering System with Reinforcement Learning,https://aclanthology.org/2026.findings-acl.833/,https://aclanthology.org/2026.findings-acl.833.pdf,10.18653/v1/2026.findings-acl.833,,research\project-audit-2026-08-02\downloads\papers\016-riprag-hack-a-black-box-retrieval-augmented-generation-question-answering-system.pdf,https://aclanthology.org/2026.findings-acl.833.pdf,success,ok
PhysicianBench: Evaluating LLM Agents in Real-World EHR Environments,https://arxiv.org/abs/2605.02240,https://arxiv.org/pdf/2605.02240.pdf,10.48550/arXiv.2605.02240,2605.02240,research\project-audit-2026-08-02\downloads\papers\017-physicianbench-evaluating-llm-agents-in-real-world-ehr-environments.pdf,https://arxiv.org/pdf/2605.02240.pdf,success,ok
Reinforcement Learning for Tool-Calling Agents in Fast Healthcare Interoperability Resources (FHIR),https://arxiv.org/abs/2605.14126,https://arxiv.org/pdf/2605.14126.pdf,10.48550/arXiv.2605.14126,2605.14126,research\project-audit-2026-08-02\downloads\papers\018-reinforcement-learning-for-tool-calling-agents-in-fast-healthcare-interoperabili.pdf,https://arxiv.org/pdf/2605.14126.pdf,success,ok
MedMCP-Calc: Benchmarking LLMs for Realistic Medical Calculator Scenarios via MCP Integration,https://arxiv.org/abs/2601.23049,https://arxiv.org/pdf/2601.23049.pdf,10.48550/arXiv.2601.23049,2601.23049,research\project-audit-2026-08-02\downloads\papers\019-medmcp-calc-benchmarking-llms-for-realistic-medical-calculator-scenarios-via-mcp.pdf,https://arxiv.org/pdf/2601.23049.pdf,success,ok
LabSage: Structural-Semantic Decoupling for Enhanced Retrieval-Augmented Generation in Clinical Laboratories,https://pubmed.ncbi.nlm.nih.gov/42317863/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13274270/pdf/,,,research\project-audit-2026-08-02\downloads\papers\020-labsage-structural-semantic-decoupling-for-enhanced-retrieval-augmented-generati.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC13274270/pdf/,success,ok
