title,url,pdf_url,doi,arxiv_id,authors,venue,publication_date,impact,confidence
"CRITIC-R1: Learning Structured Critics for Retrieval-Augmented Generation","https://arxiv.org/abs/2605.29886","https://arxiv.org/pdf/2605.29886.pdf","10.48550/arXiv.2605.29886","2605.29886","Authors listed on arXiv","arXiv","2026-05-28","把 RAG 批评建模为显式错误诊断并以过程级监督学习，可用于定位检索、归因和推理故障。","Medium"
"CRITIC-RAG: Knowledge-Augmented Large Language Models With Verified Retrieval for Improved Medical Reasoning","https://doi.org/10.1109/JBHI.2026.3687666","","10.1109/JBHI.2026.3687666","","Jin Li; Lei Lu; Yongming Miao; Yu Tian; Jingsong Li","IEEE Journal of Biomedical and Health Informatics","2026-05-15","小型独立 verifier 贯穿选择性检索、过滤、自一致推理和 groundedness 核验；LLaMA-3 的 MedQA 从 41.3% 升至 48.8%。","High"
"Reason and Verify: A Framework for Faithful Retrieval-Augmented Generation","https://proceedings.mlr.press/v318/khan26a.html","https://raw.githubusercontent.com/mlresearch/v318/main/assets/khan26a/khan26a.pdf","","","Eeham Khan; Luis Rodriguez; Marc Queudot","Canadian AI / PMLR 318","2026-05-25","结合查询改写、交叉编码重排、子结论到精确片段绑定和八类忠实度诊断，在 BioASQ/PubMedQA 验证。","High"
"Evaluating large language models for evidence-based clinical question answering","https://pmc.ncbi.nlm.nih.gov/articles/PMC13161685/","https://arxiv.org/pdf/2509.10843.pdf","10.1016/j.patter.2026.101519","2509.10843","Can Wang; Yiqun Chen","Patterns","2026-03-30","两万多问答显示结构化指南准确率 90%，系统综述仅 50%–60%；模型对模糊和弱证据普遍过度自信。","High"
"Look as You Think: Unifying Reasoning and Visual Evidence Attribution for Verifiable Document RAG via Reinforcement Learning","https://ojs.aaai.org/index.php/AAAI/article/view/40488","https://ojs.aaai.org/index.php/AAAI/article/download/40488/44449","10.1609/aaai.v40i38.40488","2511.12003","Shuochen Liu et al.","AAAI 2026","2026-03-14","用页码和 bounding box 把推理步骤绑定到视觉证据区域，平均提升 soft EM 8.23% 和 IoU@0.5 47.0%。","High"
"Faithful in Steps: Improving Generalization and Citation in RAG via Query Decomposition","https://ojs.aaai.org/index.php/AAAI/article/view/40879","https://ojs.aaai.org/index.php/AAAI/article/view/40879/44840","10.1609/aaai.v40i42.40879","","Yue Liu et al.","AAAI 2026","2026-03-14","将复杂问题拆成原子子问题并重排去除干扰，减少多跳与多模态任务中的过度引用和隐式实体遗漏。","High"
"Tiny-Critic RAG: Empowering Agentic Fallback with Parameter-Efficient Small Language Models","https://arxiv.org/abs/2603.00846","https://arxiv.org/pdf/2603.00846.pdf","10.48550/arXiv.2603.00846","2603.00846","Yichao Wu et al.","arXiv","2026-03-01","以小模型做确定性检索门控，报告路由准确率接近 GPT-4o-mini、延迟低一个数量级，适合控制 verifier 成本。","Medium"
"Agentic memory-augmented retrieval and evidence grounding for medical question-answering tasks","https://pubmed.ncbi.nlm.nih.gov/41713127/","https://www.medrxiv.org/content/medrxiv/early/2025/08/08/2025.08.06.25333160.full.pdf","10.1016/j.ijmedinf.2026.106339","","Shuyue Jia et al.","International Journal of Medical Informatics","2026-02-07","把检索、重排、证据 grounding、诊断工具和 cache-and-prune memory 合并为动态多步医学 Agent。","High"
"Multi-Evidence Clinical Reasoning With Retrieval-Augmented Generation for Emergency Triage: Retrospective Evaluation Study","https://medinform.jmir.org/2026/1/e82026/","https://medinform.jmir.org/2026/1/e82026/PDF","10.2196/82026","","Hang Sheung Wong; Tsz Kwan Wong","JMIR Medical Informatics","2026-01-26","指南与 3000 个历史病例双源检索使 236 个真实分诊病例准确率从 0.542 升至 0.802，并将过度分诊从 28.8% 降至 12.7%。","High"
"MedRAGChecker: Claim-Level Verification for Biomedical Retrieval-Augmented Generation","https://arxiv.org/abs/2601.06519","https://arxiv.org/pdf/2601.06519.pdf","10.48550/arXiv.2601.06519","2601.06519","Yuelyu Ji et al.","arXiv","2026-01-10","以原子 claim、医学 NLI 和知识图谱一致性区分忠实度不足、证据不足、矛盾和安全关键错误。","Medium"
"Web Search Is Not Enough: LLMs Fail to Account for Paper Retraction Status","https://openreview.net/forum?id=yvivK8FdVI","https://openreview.net/pdf?id=yvivK8FdVI","","","Authors listed on OpenReview","OpenReview / EMNLP 2026 submission","2026","显示仅进行网页检索仍可能把撤稿论文当作有效证据，来源生命周期必须独立建模。","Medium"
